Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,EXP
Bulbasaur,Grass,Poison,45,49,49,65,65,45,64
Ivysaur,Grass,Poison,60,62,63,80,80,60,142
VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,263
Charmander,Fire,,39,52,43,60,50,65,62
Charmeleon,Fire,,58,64,58,80,65,80,142
Charizard,Fire,Flying,78,84,78,109,85,100,267
Squirtle,Water,,44,48,65,50,64,43,63
Wartortle,Water,,59,63,80,65,80,58,142
Blastoise,Water,,79,83,100,85,105,78,265
Caterpie,Bug,,45,30,35,20,20,45,39
Metapod,Bug,,50,20,55,25,25,30,72
Butterfree,Bug,Flying,60,45,50,90,80,70,198
Weedle,Bug,Poison,40,35,30,20,20,50,39
Kakuna,Bug,Poison,45,25,50,25,25,35,72
Beedrill,Bug,Poison,65,90,40,45,80,75,198
Pidgey,Normal,Flying,40,45,40,35,35,56,50
Pidgeotto,Normal,Flying,63,60,55,50,50,71,122
Pidgeot,Normal,Flying,83,80,75,70,70,101,240
Rattata,Normal,,30,56,35,25,35,72,51
Raticate,Normal,,55,81,60,50,70,97,145
Spearow,Normal,Flying,40,60,30,31,31,70,52
Fearow,Normal,Flying,65,90,65,61,61,100,155
Ekans,Poison,,35,60,44,40,54,55,58
Arbok,Poison,,60,85,69,65,79,80,157
Pikachu,Electric,,35,55,40,50,50,90,112
Raichu,Electric,,60,90,55,90,80,110,243
Sandshrew,Ground,,50,75,85,20,30,40,60
Sandslash,Ground,,75,100,110,45,55,65,158
NidoranF,Poison,,55,47,52,40,40,41,55
Nidorina,Poison,,70,62,67,55,55,56,128
Nidoqueen,Poison,Ground,90,92,87,75,85,76,253
NidoranM,Poison,,273,57,40,40,40,50,1,55
Nidorino,Poison,,61,72,57,55,55,65,128
Nidoking,Poison,Ground,81,102,77,85,75,85,253
Clefairy,Fairy,,70,45,48,60,65,35,113
Clefable,Fairy,,95,70,73,95,90,60,242
Vulpix,Fire,,38,41,40,50,65,65,60
Ninetales,Fire,,73,76,75,81,100,100,177
